Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-2nd Alarm,166 Henry Street,Manhattan,12/31/2018 05:37:06 AM,,40.7134355873,-73.9891291275
Transportation-Other,555  FDR Drive,Manhattan,10/02/2019 11:08:29 AM,10/02/2019 07:01:30 PM,40.7168178421,-73.9758161689
HazMat-Other,3100 Ocean Parkway,Brooklyn,10/03/2019 05:16:45 PM,10/03/2019 06:12:53 PM,40.5758146481,-73.9689552592
Fire-Manhole,1378 Clinton Avenue,Bronx,06/25/2013 11:19:15 PM,06/26/2013 01:42:26 AM,40.8334016517,-73.899315541
Administration-Drill,West 129 Street & Broadway,Manhattan,06/26/2013 09:52:20 AM,06/26/2013 10:08:25 PM,40.8163190973,-73.9578319167
Utility-Water Main,701 West 135 Street,Manhattan,09/14/2018 09:49:55 AM,,40.8213465574,-73.9579537427
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Rescue-Technical,714 39th street,Brooklyn,09/12/2018 02:09:41 PM,,40.6482169886,-73.9989069348
Fire-2nd Alarm,4055 broadway,Manhattan,09/25/2018 05:40:55 AM,,40.8430549592,-73.9392271593
Fire-3rd Alarm,278 Essex Street,Brooklyn,02/17/2019 12:51:59 PM,,40.6773512653,-73.8824984116
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Fire-5th Alarm,891 East 135th Street,Bronx,01/11/2017 01:27:45 AM,01/11/2017 10:41:25 AM,40.8008057813,-73.9097661569
Structural-Other,66-35 108th Street,Queens,05/06/2017 12:24:09 PM,05/06/2017 02:34:36 PM,40.7079885524,-73.7320129071
Structural-Collapse,905 5th Avenue,Manhattan,02/25/2019 08:42:26 AM,,40.7721842134,-73.9672059982
Fire-2nd Alarm,305 West 76th Street,Manhattan,03/01/2019 02:45:52 AM,03/01/2019 05:41:20 AM,40.7826082137,-73.983051341
Rescue-High Angle,900 3 Avenue,Manhattan,08/21/2017 12:01:14 PM,08/22/2017 05:16:35 AM,40.7585752168,-73.9687979628
Law Enforcement-Device,Centre Street & Worth Street,Manhattan,02/01/2018 11:57:27 AM,02/01/2018 12:45:52 PM,40.715154,-74.002131
Utility-Other,51 East Tremont Avenue,bronx,04/06/2019 10:21:07 PM,04/07/2019 06:21:11 AM,40.8418384915,-73.8436915491
Structural-Falling Debris,Staten Island Expressway  & Bradley Avenue,Staten Island,04/15/2019 06:18:00 PM,04/16/2019 08:24:17 AM,40.608063,-74.132055
Fire-10-77 (Residential High Rise Fire),145 West 45th Street,Manhattan,09/22/2019 08:08:14 AM,09/22/2019 09:52:37 AM,40.7575252137,-73.984427618
Fire-1st Alarm,1 Penn Plaza,Manhattan,11/15/2019 06:46:49 AM,11/15/2019 07:49:41 AM,40.7144215406,-74.0060763804
Rescue-Confined Space,181-14 Kildare Road,Queens,06/27/2013 07:57:32 AM,06/27/2013 09:55:22 AM,40.7249292772,-73.7864215715
Administration-Drill,123-01 Roosevelt Ave,Queens,06/26/2013 10:24:53 PM,06/27/2013 10:01:49 PM,40.7547026155,-73.8453979052
Aviation-Helicopter,West 79th Street Boat Basin  & Boat Basin,Manhattan,06/30/2013 12:09:40 PM,06/30/2013 04:45:04 PM,40.7838439729,-73.9799878746
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Fire-3rd Alarm,278 Essex Street,Brooklyn,02/17/2019 12:51:59 PM,,40.6773512653,-73.8824984116
Fire-3rd Alarm,1074 Boston Road,Bronx,03/05/2019 05:52:11 AM,,40.8269039734,-73.905238346
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Law Enforcement-Suspicious Package,Murray St & West St,Manhattan,06/30/2013 05:04:31 PM,06/30/2013 05:29:42 PM,40.7152344783,-74.0133505297
Law Enforcement-Suspicious Package,19 Varick St,Manhattan,07/01/2013 10:44:20 AM,07/01/2013 11:12:05 AM,40.7201070028,-74.0067605301
Law Enforcement-Suspicious Package,West 172 Street & Fort Washington Avenue,Manhattan,07/01/2013 07:59:36 PM,07/01/2013 08:43:25 PM,40.8446864594,-73.9407942116
Fire-1st Alarm,300 Western Ave,Staten Island,05/20/2011 02:00:23 PM,07/02/2013 12:53:27 PM,40.6337544804,-74.1825180233
Fire-10-76 (Commercial High Rise),22 Cortlandt St,Manhattan,07/02/2013 02:58:13 PM,07/02/2013 04:11:12 PM,40.7102228016,-74.0108967625
Utility-Power Outage,60-10 47th Avenue,Queens,03/19/2019 06:37:27 PM,,40.7398399358,-73.9043437129
Fire-2nd Alarm,60-26 55th street,queens,03/20/2019 05:25:23 AM,,40.7154008465,-73.9114762672
Fire-2nd Alarm,154 East 55th Street,Manhattan,03/20/2019 05:26:26 AM,,40.7592007863,-73.9691421335
Fire-3rd Alarm,278 Essex Street,Brooklyn,02/17/2019 12:51:59 PM,,40.6773512653,-73.8824984116
Structural-Partial Collapse,2717 Gifford Avenue,Bronx,12/07/2016 05:30:00 PM,12/07/2016 07:18:32 PM,40.8310770234,-73.8336369908
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Structural-Street Collapse,Cheever Place & Kane Street,Brooklyn,01/19/2017 10:18:23 AM,01/19/2017 12:13:20 PM,40.686933336,-73.998958206
Structural-Stability Problem,301 East 10 Street,Manhattan,02/26/2019 04:11:50 PM,,40.7276621554,-73.9817599248
Fire-3rd Alarm,117 e 179 st,Bronx,07/05/2017 05:23:56 AM,07/05/2017 07:26:06 PM,40.8372130577,-73.8714592284
Structural-Collapse,905 5th Avenue,Manhattan,02/25/2019 08:42:26 AM,,40.7721842134,-73.9672059982
Utility-Gas Main Rupture,2885 West 15th Street,Brooklyn,09/24/2019 10:28:10 AM,09/24/2019 11:04:18 AM,40.5770475977,-73.9826290356
Fire-3rd Alarm,3400 Fulton Street,Brooklyn,02/27/2019 05:06:17 AM,,40.6842031157,-73.8701062703
HazMat-High Carbon Monoxide,160 east 120th street,manhattan,11/20/2019 08:41:23 AM,11/20/2019 12:27:00 PM,40.8009079619,-73.9392597184
Fire-10-76 (Commercial High Rise Fire),225 West 37 street,Manhattan,11/23/2019 05:05:42 PM,11/23/2019 07:32:41 PM,40.7532576842,-73.9899093599
Transportation-Car,FDR Drive & Grand Street,Manhattan,12/12/2019 06:18:34 AM,12/12/2019 10:33:01 AM,40.713219,-73.977498
Law Enforcement-White Powder,900 Fteley AVe,Bronx,07/03/2013 09:53:09 PM,07/03/2013 11:23:37 PM,40.822904026,-73.8700398923
Utility-Power Outage,,Bronx,07/05/2013 05:30:49 PM,07/05/2013 08:30:26 PM,40.8945577517,-73.8610562059
Utility-Water Main,26 Madison Street,Manhattan,07/06/2013 12:07:09 AM,07/06/2013 08:14:04 PM,40.7117795971,-73.9996392911
Utility-Power Outage,Ralph Avenue & Fulton Street,Brooklyn (NYCHA-Brevoort),07/06/2013 01:12:33 PM,07/06/2013 08:16:17 PM,40.678870599,-73.9216458012
Utility-Power Outage,Seaview Avenue  & Father Capodanno Blvd,Staten Island (Midland Beach Area),07/06/2013 04:10:11 PM,07/07/2013 09:12:43 AM,40.5792515676,-74.0778017378
Structural-Bricks,470 Park Avenue South,Manhattan,07/09/2013 09:19:26 AM,07/09/2013 10:36:10 AM,40.7454564288,-73.9825400802
Law Enforcement-Suspicious Package,Broadway & Pine Street,Manhattan,07/10/2013 05:24:35 PM,07/10/2013 05:37:39 PM,40.7083041783,-74.0112499252
Fire-3rd Alarm,1280 Randall Avenue,Bronx,07/09/2013 07:43:53 PM,07/10/2013 05:42:28 PM,40.8120908928,-73.8866641922
Rescue-Confined Space,26 Central Avenue,Staten Island,07/11/2013 10:18:33 AM,07/11/2013 02:42:53 PM,40.6411199011,-74.0768469419
Fire-5th Alarm,376 Vernon Avenue,Brooklyn,01/31/2019 04:01:14 AM,,40.6961096128,-73.9358673476
Utility-Water Main,East 79th Street  & 3rd Avenue,Manhattan,02/04/2019 08:59:39 AM,,40.774284,-73.957284
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Utility-Transformer,42-49 Colden Street,Queens,01/29/2019 01:33:51 AM,,40.7534344863,-73.8259500219
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Fire-5th Alarm,376 Vernon Avenue,Brooklyn,01/31/2019 04:01:14 AM,,40.6961096128,-73.9358673476
Fire-Collapse,23 Park Place,Manhattan,12/21/2018 03:55:55 AM,,,
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Utility-Power Outage,2800 W 5 St,Brooklyn,11/18/2016 02:13:08 PM,11/20/2016 02:01:41 AM,40.5796798866,-73.9719092761
Utility-Transformer,42-49 Colden Street,Queens,01/29/2019 01:33:51 AM,,40.7534344863,-73.8259500219
Structural-Stability Problem,119 Pennsylvania Avenue,Brooklyn,05/25/2018 05:44:44 PM,05/25/2018 08:14:35 PM,40.6748575423,-73.8966159915
Fire-10-77 (Residential High Rise Fire),260 Audubon Avenue,Manhattan,05/19/2018 09:58:17 AM,06/12/2018 01:59:36 PM,40.8470866261,-73.9334961565
Utility-Power Outage,21 asch loop,Bronx,03/16/2019 03:08:26 PM,,40.86982294,-73.830832269
Structural-Scaffold,405 east 42 street,Manhattan,09/15/2018 07:26:24 PM,09/15/2018 08:35:35 PM,40.748716249,-73.9695734181
Fire-10-76 (Commercial High Rise Fire),300 Park Avenue,Manhattan,10/23/2018 02:18:25 PM,10/23/2018 03:53:04 PM,40.7568887283,-73.9743071112
Fire-10-76 (Commercial High Rise Fire),21 West 39 Street,Manhattan,11/25/2018 01:11:30 PM,11/25/2018 04:47:50 PM,40.7521882137,-73.983670392
Structural-Collapse,244 Howard Avenue,Brooklyn,01/09/2019 03:40:16 PM,01/13/2019 10:57:54 AM,40.6796167405,-73.9193780003
Fire-2nd Alarm,192 Victory Boulevard,Staten Island,01/23/2019 10:15:40 AM,01/23/2019 03:20:37 PM,40.6363722964,-74.082219088
Law Enforcement-Haz Mat,420 East 70 Street,New York,03/12/2019 01:18:45 PM,03/12/2019 02:48:04 PM,40.7660038118,-73.9558624659
Utility-Water Service Line,200 West 14 Street,Manhattan,09/07/2016 11:50:51 PM,,40.7387248785,-74.000111865
Transportation-Other,Bruckner Expressway and White Plains Road,Bronx,04/29/2019 03:09:06 PM,04/29/2019 03:44:33 PM,40.825899,-73.859553
Structural-Sinkhole,Lexington Avenue & E. 70th Street,Manhattan,07/11/2013 08:51:45 AM,07/12/2013 11:52:44 AM,40.7691115629,-73.9631615736
Law Enforcement-Suspicious Vehicle,West 76th Street & Central Park West,Manhattan,07/13/2013 03:18:33 PM,07/13/2013 03:26:54 PM,40.778806204,-73.9740678073
Fire-5th Alarm,1507 Commonwealth Avenue,Bronx,07/17/2013 03:02:11 AM,07/17/2013 05:53:56 PM,40.8383036387,-73.8691641447
Transportation-Delay in Commuter Service,West 34th Street & 8th Avenue- NY Penn Station,Manhattan,07/17/2013 05:54:22 PM,07/17/2013 10:54:15 PM,40.7521904339,-73.9934635984
Utility-Electric Feeder Cable,25 Pine Street,Manhattan,07/18/2013 11:16:18 AM,07/18/2013 11:50:45 AM,40.7074863636,-74.009890002
Utility-Electric Feeder Cable,Clinton Street & Union Street,Brooklyn,07/18/2013 07:04:10 AM,07/18/2013 06:11:39 PM,40.6829567774,-73.9978727371
Law Enforcement-Suspicious Package,365 5 Ave,Manhattan,07/18/2013 05:30:30 PM,07/18/2013 06:13:44 PM,40.7488217398,-73.9842679547
Fire-1st Alarm,83 Elizabeth St,Manhattan,07/18/2013 02:53:09 PM,07/19/2013 04:36:58 AM,40.7180403302,-73.9960642958
Fire-Collapse,02 Aberdeen Street,Brooklyn,06/23/2018 11:06:46 AM,,40.6813772942,-73.9065617618
HazMat-Fuel,910 Post Ave,Staten Island,12/26/2016 12:46:59 PM,01/11/2017 02:24:40 PM,40.6311856592,-74.1311954189
Law Enforcement-Mobilization,5800 Tilden Avenue,Brooklyn,04/19/2017 01:18:39 PM,04/19/2017 02:52:01 PM,40.6486336985,-73.9223084655
Fire-2nd Alarm,244-15 73 Avenue,Queens,05/07/2017 06:05:13 AM,05/07/2017 07:39:56 AM,40.714003641,-73.8299893315
Structural-Collapse,42-20 27 Street,Queens,06/26/2017 11:04:31 AM,06/26/2017 12:47:48 PM,40.714003641,-73.8299893315
Fire-4th Alarm,2467 Webster Avenue,Bronx,03/22/2019 01:09:18 PM,,40.8602577898,-73.8929181179
Utility-Power Outage,Cornega Avenue  & Beach 22nd Street,Queens,10/07/2017 01:26:17 PM,10/07/2017 02:40:37 PM,40.602177,-73.755225
Structural-Construction Accident,217 West 57th Street,Manhattan,05/26/2018 10:52:38 AM,05/26/2018 10:58:50 AM,40.7659451482,-73.9809428737
Structural-Other,57-25 Roosevelt Avenue,queens,04/07/2019 05:49:13 AM,04/07/2019 09:00:30 AM,40.7454494973,-73.9067424074
Transportation-Other,Penn Station,Manhattan,07/03/2019 04:37:23 PM,07/03/2019 08:04:10 PM,40.7525108531,-73.9932226102
Rescue-Technical,138-19 Hillside Avenue,Quenns,09/25/2019 08:19:34 AM,09/25/2019 09:53:00 AM,40.7042043593,-73.8156643687
Utility-Power Outage,2601 Ocean Parkway,Brooklyn,07/19/2013 10:40:25 AM,07/19/2013 04:04:49 PM,40.5865521447,-73.9661677413
Utility-Power Outage,1780 Grand Concourse,Bronx,07/20/2013 08:06:28 AM,07/22/2013 07:48:39 AM,40.8464966954,-73.9092750693
Transportation-Commuter Bus,DeKalb Ave & Tompkins Ave,Brooklyn,07/22/2013 06:43:03 PM,07/22/2013 08:45:26 PM,40.6920346403,-73.9456428334
Fire-Manhole,West 87th Street & Central Park West,Manhattan,07/14/2013 10:59:19 PM,07/23/2013 04:39:28 PM,40.7859686674,-73.9688433543
Fire-3rd Alarm,188 South 3rd Street,Brooklyn,07/18/2013 05:13:01 AM,07/24/2013 06:16:37 PM,40.7117013934,-73.9603148481
HazMat-Powder,200 Vesey Street,Manhattan,07/22/2013 05:08:27 PM,07/25/2013 10:56:45 AM,40.7144464634,-74.0154930687
Law Enforcement-Suspicious Package,130 stuyvesant,Staten Island,06/11/2018 05:27:11 PM,,40.6430675939,-74.0770357363
Fire-2nd Alarm,459 Myrtle Avenue,Brooklyn,07/23/2013 11:52:33 AM,07/25/2013 04:35:29 PM,40.6933245824,-73.9671016316
Utility-Power Outage,84 Lamport Blvd,Staten Island,07/26/2013 12:54:55 PM,07/26/2013 05:54:06 PM,40.5967875766,-74.0785783551
Fire-Sensitive Location,West 50th Street & Broadway,Manhattan,07/30/2013 10:58:22 AM,07/30/2013 11:40:33 AM,40.7614228371,-73.9840483917
Structural-Construction Accident,Church Street & Liberty Street,Manhattan,07/30/2013 04:31:01 PM,07/30/2013 06:14:32 PM,40.7096874969,-74.0116721748
Utility-Oil Feeder,199 Ryerson Street,Brooklyn,07/30/2013 01:02:02 PM,07/30/2013 09:17:50 PM,40.6914546423,-73.9645675432
Fire-3rd Alarm,1074 Boston Road,Bronx,03/05/2019 05:52:11 AM,,40.8269039734,-73.905238346
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Law Enforcement-Other,410 Atlantic Avenue,Brooklyn,02/22/2018 12:44:04 PM,,40.6867616514,-73.9845338464
Law Enforcement-Device,335 York Ave,Staten Island,01/19/2017 01:36:22 PM,01/19/2017 02:58:54 PM,40.6382370176,-74.0881582626
Fire-2nd Alarm,537 East 187 Street,Bronx,02/10/2017 09:40:35 AM,02/10/2017 12:44:24 PM,,
Fire-1st Alarm,2800 Victory Blvd,Staten Island,02/23/2017 09:50:59 AM,02/23/2017 11:15:07 AM,40.6087454787,-74.1537831332
Fire-Collapse,437 Beach 7 Street,Queens,03/14/2017 10:47:27 AM,03/14/2017 12:38:51 PM,40.714003641,-73.8299893315
Fire-2nd Alarm,726 East 141 Street,Bronx,06/30/2017 02:01:05 AM,07/06/2017 09:14:26 AM,,
Fire-2nd Alarm,61 Watchogue Road,Staten Island,09/22/2017 01:16:46 PM,09/22/2017 03:26:39 PM,40.6137172409,-74.1325273927
Structural-Falling Debris,245  Bergen Street,Brooklyn,08/31/2016 04:14:35 PM,,40.6843171291,-73.984272356
Fire-10-77 (Residential High Rise Fire),4 East 28th Street,Manhattan,07/01/2018 07:22:38 PM,07/01/2018 08:06:24 PM,40.7443657791,-73.9866435242
Law Enforcement-Suspicious Package,66-20 Wetherole Street,Queens,07/17/2018 09:38:54 AM,07/17/2018 10:58:39 AM,40.7254034615,-73.8565932197
Utility-Gas High Pressure,West 259 Street  & fieldston Road,Bronx,07/28/2018 10:57:35 AM,07/28/2018 01:03:46 PM,40.906746,-73.9003815
HazMat-High Carbon Monoxide,1650 Broadway,Manhattan,08/16/2018 10:59:07 PM,08/30/2018 02:23:40 PM,40.7619251879,-73.9836859726
Rescue-Technical,112-16 Astoria Blvd,Queens,12/03/2018 03:39:20 PM,12/03/2018 04:55:53 PM,40.7595984903,-73.8581078647
Fire-Sensitive Location,1887 Ralph Ave,Brooklyn,07/04/2019 05:25:11 PM,07/05/2019 12:11:15 AM,40.6310326553,-73.9184721249
Law Enforcement-Other,100 centre street,Manhattan,07/15/2019 02:09:22 PM,07/23/2019 12:51:48 AM,40.7161523825,-74.0013626278
Law Enforcement-Other,16 East 35th street,manhattan,07/15/2019 10:42:49 AM,07/23/2019 12:54:24 AM,40.7487958118,-73.9834294659
Law Enforcement-Suspicious Package,14 Bedford St,Manhattan,07/31/2013 03:07:20 PM,07/31/2013 04:26:18 PM,40.7290797603,-74.003492569
HazMat-White Powder Substance,East 97th Street  & 1st Avenue,Manhattan,07/31/2013 05:39:40 PM,07/31/2013 06:35:47 PM,40.7839337686,-73.9442245174
Transportation-Roll Off Container Truck,West 140th  & Broadway,Manhattan,08/01/2013 06:44:32 AM,08/01/2013 08:57:48 AM,40.8232640143,-73.9527619033
Utility-Other,475 Kent Avenue,Brooklyn,02/02/2019 04:13:04 AM,,40.707315,-73.9683457863
Fire-3rd Alarm,278 Essex Street,Brooklyn,02/17/2019 12:51:59 PM,02/18/2019 02:22:20 PM,40.6773512653,-73.8824984116
Utility-Water Main,,Manhattan,12/07/2016 10:12:26 AM,12/07/2016 07:21:41 PM,,
Utility-Manhole,west 50th street & 8th Avenue,Brooklyn,02/16/2019 08:11:27 PM,,40.641093,-74.0037105
Law Enforcement-Suspicious Package,West 51 Street  & 5 Avenue,Manhattan,12/23/2016 07:35:16 PM,12/23/2016 08:06:16 PM,40.7144215406,-74.0060763804
Utility-Water Main,24-04 34 Avenue,Queens,10/07/2017 11:23:47 AM,10/08/2017 01:05:07 AM,40.7615992113,-73.9314937756
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Fire-School,75 West 205 Street,Bronx,12/20/2017 12:30:34 PM,12/20/2017 12:54:27 PM,,
Transportation-Other,FDR drive & Manhattan Bridge,Manhattan,08/25/2019 02:07:44 AM,08/25/2019 05:26:58 AM,40.709574,-73.9920825
Fire-Manhole,155 East 38th Street,Manhattan,10/06/2019 01:39:44 AM,10/17/2019 09:35:05 PM,40.7487144001,-73.9772174005
Fire-5th Alarm,376 Vernon Avenue,Brooklyn,01/31/2019 04:01:14 AM,,40.6961096128,-73.9358673476
Fire-3rd Alarm,363 East 163rd Street,Bronx,02/03/2019 03:35:50 AM,,40.8264524168,-73.9148190399
Fire-Manhole,83-45 Dongan Avenue,Queens,12/12/2019 12:53:55 PM,12/12/2019 02:46:34 PM,40.7403766933,-73.8796327749
Utility-Transformer,42-49 Colden Street,Queens,01/29/2019 01:33:51 AM,,40.7534344863,-73.8259500219
Law Enforcement-Explosion,300 West 234 Street,Bronx,09/27/2016 07:36:10 AM,,,
Fire-10-76 (Commercial High Rise Fire),51 West 52 Street,Manhattan,10/13/2016 06:22:41 AM,,,
Utility-Water Service Line,240 West 74th Street,Manhattan,10/14/2016 07:25:08 AM,,,
Fire-6th Alarm,228 Benziger Avenue,Staten Island,08/18/2016 06:27:22 PM,,40.6394119608,-74.0855862872
Law Enforcement-Haz Mat,240 Page Ave,Staten Island,08/02/2013 03:10:16 PM,08/05/2013 11:55:29 AM,40.5170892924,-74.2338681824
Structural-Car Into a Building,3477 Boston Road,Bronx,08/05/2013 06:58:56 PM,08/06/2013 01:12:58 PM,40.8766754483,-73.8475008808
Other-DOB Vacate,140  Hester St,Manhattan,08/06/2013 11:33:19 AM,08/06/2013 01:35:22 PM,40.7173211851,-73.995570126
Medical-Spray/Larvaciding,58th Avenue & 188th Street,Queens,08/06/2013 10:45:30 PM,08/07/2013 12:11:50 PM,40.7425993355,-73.7875161239
Law Enforcement-Suspicious Package,West 116th Street & 7th Ave,Manhattan,08/09/2013 02:08:40 PM,08/09/2013 02:54:20 PM,40.8032164735,-73.9525305115
Structural-Overturned Excavator,30 W. 46th Street,Manhattan,08/09/2013 10:06:54 AM,08/09/2013 04:14:18 PM,40.7565036537,-73.9801729546
Law Enforcement-Suspicious Package,230 West 20Th Street,Manhattan,08/12/2013 12:36:04 PM,08/12/2013 02:48:38 PM,40.7426553459,-73.9980476603
Fire-10-76 (Commercial High Rise),121 Varick Street,Manhattan,08/14/2013 02:47:37 AM,08/14/2013 04:04:16 AM,40.724860969,-74.0059456501
Structural-Roller Coaster Accident,West 12th Street & Boardwalk,Brooklyn,08/14/2013 07:16:04 PM,08/14/2013 08:20:37 PM,40.5731716748,-73.9797018318
Fire-3rd Alarm,449 Troutman Street,Brooklyn,08/15/2013 05:12:47 PM,08/15/2013 07:36:02 PM,40.7078992037,-73.9215287217
Structural-Sidewalk Collapse,3204 Park Ave,Bronx,07/24/2013 07:58:13 PM,08/16/2013 07:04:01 PM,40.8252057618,-73.9162668112
Law Enforcement-Report of Police Officer Shot,633 Halsey St.,Brooklyn,08/17/2013 08:24:55 PM,08/17/2013 08:29:59 PM,40.6844159515,-73.9272099535
Law Enforcement-Device,Jerome Avenue & Van Cortlandt Park East,Bronx,06/04/2017 12:33:59 PM,06/04/2017 01:09:38 PM,40.8770231952,-73.8877473349
Utility-Gas High Pressure,2nd Street & 54 Avenue,Queens,07/06/2017 10:39:03 AM,07/06/2017 10:59:57 AM,40.740795,-73.959336
Medical-Other,111 West 28 Street,Manhattan,08/22/2017 08:22:05 AM,08/22/2017 08:32:48 AM,40.7463751882,-73.9912225341
Utility-Water Main,56 West 82nd Street,Manhattan,11/20/2017 09:08:09 AM,11/21/2017 02:05:06 PM,,
HazMat-Liquid,6 Metrotech Center,Brooklyn,05/30/2018 02:31:02 PM,05/30/2018 04:42:34 PM,40.6948086774,-73.9862232021
Law Enforcement-Suspicious Package,725 5th Avenue,new york,07/27/2018 06:07:56 PM,07/28/2018 01:05:39 PM,40.7624606672,-73.9742493629
Structural-Stability Problem,223 South Avenue,Staten ISland,09/17/2018 06:31:13 AM,09/17/2018 01:14:55 PM,40.6343055751,-74.1662138151
Law Enforcement-Suspicious Package,9 MetroTech,Brooklyn,11/02/2018 08:35:38 AM,11/02/2018 09:12:06 AM,40.694840529,-73.9845230029
Fire-2nd Alarm,1681 Flatbush Avenue,Brooklyn,11/26/2018 02:28:38 PM,11/26/2018 04:54:33 PM,40.6292162998,-73.9438427788
Utility-Gas Main Rupture,77 Freeman Street,Brooklyn,04/16/2019 02:30:21 PM,04/16/2019 07:39:58 PM,40.7340974383,-73.9588552333
Structural-Confined Space,1000 Tenth Avenue,Manhattan,05/09/2019 10:09:55 AM,05/09/2019 10:25:24 AM,40.7703176319,-73.9876019247
Transportation-Train Subway,,Manhattan,08/19/2013 07:53:37 AM,08/19/2013 09:39:03 AM,40.7499945521,-73.9921212069
Structural-Stability Problem,567 St John's Place,Brooklyn,08/19/2013 05:05:24 PM,08/19/2013 08:27:39 PM,40.672862601,-73.959433107
Utility-Water Main,66 Boerum Place,Brooklyn,08/20/2013 10:24:43 AM,08/21/2013 10:18:59 AM,40.6895191378,-73.9903218043
Law Enforcement-Suspicious Package,Stanhope Street & St. Nicholas Avenue,Brooklyn,08/21/2013 06:37:43 PM,08/21/2013 08:31:44 PM,40.704552621,-73.9166095158
Medical-Spray/Larvaciding,86 Street & 11 Avenue,Brooklyn,08/20/2013 10:33:44 PM,08/22/2013 09:22:45 PM,40.6167264723,-74.0183267365
Fire-10-76 (Commercial High Rise),10 East 40 Street,Manhattan,08/22/2013 11:58:36 PM,08/23/2013 04:58:31 AM,40.7518789109,-73.9810910833
Fire-10-77 (Residential High Rise),700 Lenox Avenue,Manhattan,08/24/2013 12:53:29 AM,08/24/2013 01:40:17 AM,40.8205332492,-73.9361441109
Structural-Life Safety Violations,3 Bowen Street,Staten Island,08/23/2013 11:37:03 PM,08/24/2013 02:44:43 AM,40.6154685435,-74.0826632735
Utility-Power Outage,315 Beach 9 Street,Queens,08/25/2013 06:24:37 AM,08/25/2013 06:56:02 AM,40.5979551483,-73.7445813436
Structural-Sidewalk Shed,444 Madison Avenue,Manhattan,08/26/2013 10:08:54 AM,08/26/2013 12:28:01 PM,40.7575815039,-73.9758050544
Rescue-Confined Space,2407  East 23rd Street,Brooklyn,08/26/2013 02:20:33 PM,08/26/2013 04:41:46 PM,40.5926631431,-73.9471747888
Utility-Manhole,,Brooklyn,02/23/2017 11:39:32 PM,02/24/2017 05:41:45 AM,,
Fire-4th Alarm,511 Amsterdam Avenue,Manhattan,02/24/2017 06:21:05 PM,02/25/2017 03:44:31 PM,40.7144215406,-74.0060763804
Structural-Partial Collapse,2470 Beuamont Avenue,BRonx,06/26/2017 10:52:24 PM,06/27/2017 12:14:33 AM,40.8559296991,-73.8833271895
Utility-Power Outage,315 East 68 Street,Manhattan,07/06/2017 01:57:38 AM,07/06/2017 04:44:37 PM,,
Transportation-Other,,Hoboken,09/29/2016 09:06:56 AM,10/10/2016 06:27:40 AM,40.7390534322,-74.0301576832
Fire-2nd Alarm,"2420 Morris Ave, Bronx",Bronx,09/23/2017 01:35:59 PM,09/23/2017 04:33:17 PM,40.8610324752,-73.9001899706
Utility-Gas Low Pressure,113-04 Dunkirk Street,Queens,12/20/2017 12:49:18 PM,12/20/2017 01:01:18 PM,40.6969185581,-73.769659809
Utility-Water Main,Shore Road & 92 Street,Brooklyn,01/07/2018 07:00:03 PM,01/08/2018 08:20:41 AM,40.620789,-74.040462
Fire-Haz Mat,1399 Atlantic Avenue,Brooklyn,01/15/2018 01:48:40 PM,01/15/2018 02:34:28 PM,40.6782264965,-73.943501747
Law Enforcement-Suspicious Package,182 Street Grand Concourse,Bronx,04/03/2018 02:07:36 AM,04/03/2018 03:34:53 AM,40.8130719907,-73.9297977317
Fire-10-77 (Residential High Rise Fire),120 West 57 Street,Brooklyn,05/05/2018 11:48:16 AM,05/05/2018 12:56:24 PM,,
Structural-Street Collapse,FDR Drive Southbound & 14th Street,Manhattan,07/01/2012 08:53:18 AM,05/26/2018 02:51:31 PM,40.7268394073,-73.9719167061
Fire-2nd Alarm,1666 East 49th Street,Brooklyn,07/02/2018 01:35:11 AM,07/02/2018 04:40:16 AM,40.6201203702,-73.9280558968
Fire-2nd Alarm,1540 Van Siclen Avenue,Brooklyn,07/29/2018 05:41:28 AM,07/29/2018 11:17:21 AM,40.6476048415,-73.8772199556
Fire-Haz Mat,50-18 196th Street,Queens,09/07/2018 11:55:20 AM,09/17/2018 04:01:05 PM,40.7486233658,-73.7833418474
